# species: Mus musculus
# support: EXP, IMP, ISS, ISM, TAS, IEA, IDA, IGI, ISO, IGC, NAS, IPI, IEP, ISA, RCA, IC
# associations retrieved on: 2015-08-20 00:27:59-04
# gofunc built on: 2014-08-29 20:00:45.229015-04
# gene associations file: ftp://ftp.geneontology.org/pub/go/gene-associations/gene_association.mgi.gz
#   revision: 06/05/2014 $
#   downloaded on: 2014-06-23 12:15:18-04
# GO DAG files from: http://archive.geneontology.org/latest-full/go_201404-termdb-tables.tar.gz
#   downloaded on: 2014-04-28 17:00:50-04
# translation required: yes
# translation info:
#   authority: ensembl
#     synergizer db built on: 2014-02-26 11:38:08.723614-05
#     synergizer db built from: Ensembl Genes 74 / Ensembl Metazoa Genes 21 / Ensembl Plants Genes 21
#   namespace: mgi_symbol
#   coverage: 100.0%
# size of "genespace": 22607
# number of attributes: 17970
# NOTE: the last record consists of all the entities in the
# "genespace" that are not associated with any attribute (for
# the requested support).
# Original number of entities in query: 66180
# Number of entities in query: 13811
# Total number of entities: 24446
# Original total number of entities: 22607
# Entities not in default gene space: 1839
# Total number of attributes: 17970
# Translation required: yes
# Translation coverage: 0.999722
# Mode: unordered
# Number of simulations: 1000
# Adjusted P-value cutoff: 0.05
# Over/under: over
# Evidence codes: EXP, IMP, ISS, ISM, TAS, IEA, IDA, IGI, ISO, IGC, NAS, IPI, IEP, ISA, RCA, IC
OVERREPRESENTED ATTRIBUTES
N	X	LOD	P	P_adj	attrib ID	attrib name
30	30	1.67279125750541	3.58560180684553e-08	<0.001	GO:0005547	phosphatidylinositol-3,4,5-trisphosphate binding
26	26	1.61161125894422	3.5318312792694e-07	<0.001	GO:0001892	embryonic placenta development
25	25	1.59487406286759	6.25640879670802e-07	0.002	GO:0015459	potassium channel regulator activity
23	23	1.55933874641233	1.96306330067942e-06	0.002	GO:0010765	positive regulation of sodium ion transport
23	23	1.55933874641233	1.96306330067942e-06	0.002	GO:0043647	inositol phosphate metabolic process
22	22	1.54042190653202	3.47710914896839e-06	0.004	GO:0021952	central nervous system projection neuron axonogenesis
22	22	1.54042190653202	3.47710914896839e-06	0.004	GO:0048048	embryonic eye morphogenesis
21	21	1.52064635490029	6.15869405085028e-06	0.011	GO:0051393	alpha-actinin binding
21	21	1.52064635490029	6.15869405085028e-06	0.011	GO:0071526	semaphorin-plexin signaling pathway
20	20	1.49993026488809	1.09080023847643e-05	0.019	GO:0032007	negative regulation of TOR signaling
20	20	1.49993026488809	1.09080023847643e-05	0.019	GO:0038179	neurotrophin signaling pathway
20	20	1.49993026488809	1.09080023847643e-05	0.019	GO:0043620	regulation of DNA-templated transcription in response to stress
20	20	1.49993026488809	1.09080023847643e-05	0.019	GO:0060317	cardiac epithelial to mesenchymal transition
20	20	1.49993026488809	1.09080023847643e-05	0.019	GO:0086091	regulation of heart rate by cardiac conduction
19	19	1.47817952632579	1.93191541667091e-05	0.034	GO:0006891	intra-Golgi vesicle-mediated transport
19	19	1.47817952632579	1.93191541667091e-05	0.034	GO:0034260	negative regulation of GTPase activity
19	19	1.47817952632579	1.93191541667091e-05	0.034	GO:0046847	filopodium assembly
31	32	1.20967139489146	2.93519847163714e-07	<0.001	GO:0051058	negative regulation of small GTPase mediated signal transduction
30	31	1.19562916644516	5.04395605406765e-07	0.002	GO:0030879	mammary gland development
30	31	1.19562916644516	5.04395605406765e-07	0.002	GO:0046580	negative regulation of Ras protein signal transduction
30	31	1.19562916644516	5.04395605406765e-07	0.002	GO:0046875	ephrin receptor binding
29	30	1.18111983135965	8.65914250873104e-07	0.002	GO:0030279	negative regulation of ossification
46	48	1.15739718886561	8.56803167627761e-10	<0.001	GO:0035335	peptidyl-tyrosine dephosphorylation
46	48	1.15739718886561	8.56803167627761e-10	<0.001	GO:0042734	presynaptic membrane
27	28	1.15056749263647	2.54378531201974e-06	0.002	GO:0006829	zinc ion transport
27	28	1.15056749263647	2.54378531201974e-06	0.002	GO:0032281	alpha-amino-3-hydroxy-5-methyl-4-isoxazolepropionic acid selective glutamate receptor complex
63	66	1.14708575432574	9.02055346817279e-13	<0.001	GO:0008013	beta-catenin binding
26	27	1.13444916788396	4.35230952862211e-06	0.007	GO:0042805	actinin binding
26	27	1.13444916788396	4.35230952862211e-06	0.007	GO:0045296	cadherin binding
26	27	1.13444916788396	4.35230952862211e-06	0.007	GO:0048710	regulation of astrocyte differentiation
26	27	1.13444916788396	4.35230952862211e-06	0.007	GO:0060076	excitatory synapse
25	26	1.11771197180733	7.43708467320535e-06	0.013	GO:0004402	histone acetyltransferase activity
25	26	1.11771197180733	7.43708467320535e-06	0.013	GO:0032856	activation of Ras GTPase activity
25	26	1.11771197180733	7.43708467320535e-06	0.013	GO:0035249	synaptic transmission, glutamatergic
25	26	1.11771197180733	7.43708467320535e-06	0.013	GO:0090559	regulation of membrane permeability
24	25	1.10030637544908	1.26907942039288e-05	0.02	GO:0046902	regulation of mitochondrial membrane permeability
24	25	1.10030637544908	1.26907942039288e-05	0.02	GO:1901379	regulation of potassium ion transmembrane transport
23	24	1.08217665535207	2.16238379253241e-05	0.037	GO:0007257	activation of JUN kinase activity
23	24	1.08217665535207	2.16238379253241e-05	0.037	GO:0009954	proximal/distal pattern formation
23	24	1.08217665535207	2.16238379253241e-05	0.037	GO:0018345	protein palmitoylation
23	24	1.08217665535207	2.16238379253241e-05	0.037	GO:0040036	regulation of fibroblast growth factor receptor signaling pathway
23	24	1.08217665535207	2.16238379253241e-05	0.037	GO:0051953	negative regulation of amine transport
38	40	1.07515264289053	5.82690143605274e-08	<0.001	GO:0051018	protein kinase A binding
64	68	1.0447180160288	4.03602804695386e-12	<0.001	GO:0019233	sensory perception of pain
64	68	1.0447180160288	4.03602804695386e-12	<0.001	GO:0046332	SMAD binding
49	52	1.03847521398955	1.3468622442946e-09	<0.001	GO:0005913	cell-cell adherens junction
90	96	1.03284646888038	2.96473028901745e-16	<0.001	GO:0007265	Ras protein signal transduction
34	36	1.02738490211144	4.67205098878215e-07	0.001	GO:0051017	actin filament bundle assembly
34	36	1.02738490211144	4.67205098878215e-07	0.001	GO:0061572	actin filament bundle organization
47	50	1.020500516535	3.76516428008652e-09	<0.001	GO:0030175	filopodium
33	35	1.01457909320971	7.83366829892426e-07	0.002	GO:0030173	integral component of Golgi membrane
33	35	1.01457909320971	7.83366829892426e-07	0.002	GO:0051057	positive regulation of small GTPase mediated signal transduction
46	49	1.01122830916572	6.28399259832098e-09	<0.001	GO:0031594	neuromuscular junction
32	34	1.00138612857404	1.31138442913682e-06	0.002	GO:0005231	excitatory extracellular ligand-gated ion channel activity
32	34	1.00138612857404	1.31138442913682e-06	0.002	GO:0030331	estrogen receptor binding
44	47	0.992072272863397	1.74372311699012e-08	<0.001	GO:0030315	T-tubule
44	47	0.992072272863397	1.74372311699012e-08	<0.001	GO:0060079	regulation of excitatory postsynaptic membrane potential
31	33	0.987781805094343	2.1916058105516e-06	0.002	GO:0010907	positive regulation of glucose metabolic process
56	60	0.986954096342145	2.38819587544534e-10	<0.001	GO:0007179	transforming growth factor beta receptor signaling pathway
103	111	0.974962601335462	1.57508282364577e-17	<0.001	GO:0032319	regulation of Rho GTPase activity
30	32	0.973739576648038	3.65610948974379e-06	0.006	GO:0034332	adherens junction organization
30	32	0.973739576648038	3.65610948974379e-06	0.006	GO:0048265	response to pain
30	32	0.973739576648038	3.65610948974379e-06	0.006	GO:0051353	positive regulation of oxidoreductase activity
30	32	0.973739576648038	3.65610948974379e-06	0.006	GO:0097581	lamellipodium organization
42	45	0.972038106704514	4.81226052411243e-08	<0.001	GO:0004722	protein serine/threonine phosphatase activity
42	45	0.972038106704514	4.81226052411243e-08	<0.001	GO:0018210	peptidyl-threonine modification
66	71	0.970852105462469	9.11008805111725e-12	<0.001	GO:0003705	RNA polymerase II distal enhancer sequence-specific DNA binding transcription factor activity
90	97	0.970657702739094	1.82055340332298e-15	<0.001	GO:0010469	regulation of receptor activity
41	44	0.96166573418822	7.97686612745158e-08	<0.001	GO:0004712	protein serine/threonine/tyrosine kinase activity
29	31	0.959230241562531	6.08769657837047e-06	0.011	GO:0005801	cis-Golgi network
29	31	0.959230241562531	6.08769657837047e-06	0.011	GO:0060349	bone morphogenesis
29	31	0.959230241562531	6.08769657837047e-06	0.011	GO:0070169	positive regulation of biomineral tissue development
52	56	0.954938680590132	1.78918153806103e-09	<0.001	GO:0051588	regulation of neurotransmitter transport
40	43	0.951041123802981	1.32020970692812e-07	<0.001	GO:0043542	endothelial cell migration
28	30	0.944221576162269	1.01160749992021e-05	0.017	GO:0003206	cardiac chamber morphogenesis
28	30	0.944221576162269	1.01160749992021e-05	0.017	GO:0021795	cerebral cortex cell migration
28	30	0.944221576162269	1.01160749992021e-05	0.017	GO:0021955	central nervous system neuron axonogenesis
28	30	0.944221576162269	1.01160749992021e-05	0.017	GO:0030501	positive regulation of bone mineralization
28	30	0.944221576162269	1.01160749992021e-05	0.017	GO:0043124	negative regulation of I-kappaB kinase/NF-kappaB signaling
28	30	0.944221576162269	1.01160749992021e-05	0.017	GO:0043666	regulation of phosphoprotein phosphatase activity
28	30	0.944221576162269	1.01160749992021e-05	0.017	GO:0045168	cell-cell signaling involved in cell fate commitment
28	30	0.944221576162269	1.01160749992021e-05	0.017	GO:0046579	positive regulation of Ras protein signal transduction
28	30	0.944221576162269	1.01160749992021e-05	0.017	GO:0060479	lung cell differentiation
39	42	0.940151661616886	2.18147605834151e-07	<0.001	GO:0035137	hindlimb morphogenesis
50	54	0.938007633398448	4.85974365518761e-09	<0.001	GO:0048259	regulation of receptor-mediated endocytosis
49	53	0.929289896701214	7.99262454660428e-09	<0.001	GO:0034705	potassium channel complex
49	53	0.929289896701214	7.99262454660428e-09	<0.001	GO:0060078	regulation of postsynaptic membrane potential
38	41	0.928983763190636	3.59850566287238e-07	<0.001	GO:0018107	peptidyl-threonine phosphorylation
38	41	0.928983763190636	3.59850566287238e-07	<0.001	GO:0030145	manganese ion binding
38	41	0.928983763190636	3.59850566287238e-07	<0.001	GO:0035254	glutamate receptor binding
38	41	0.928983763190636	3.59850566287238e-07	<0.001	GO:0070936	protein K48-linked ubiquitination
27	29	0.928677902839354	1.67741049215898e-05	0.026	GO:0000184	nuclear-transcribed mRNA catabolic process, nonsense-mediated decay
27	29	0.928677902839354	1.67741049215898e-05	0.026	GO:0005100	Rho GTPase activator activity
27	29	0.928677902839354	1.67741049215898e-05	0.026	GO:0030032	lamellipodium assembly
27	29	0.928677902839354	1.67741049215898e-05	0.026	GO:0031128	developmental induction
27	29	0.928677902839354	1.67741049215898e-05	0.026	GO:0032314	regulation of Rac GTPase activity
27	29	0.928677902839354	1.67741049215898e-05	0.026	GO:0060487	lung epithelial cell differentiation
27	29	0.928677902839354	1.67741049215898e-05	0.026	GO:0071320	cellular response to cAMP
70	76	0.923754454420015	6.83797620380733e-12	<0.001	GO:0071559	response to transforming growth factor beta
70	76	0.923754454420015	6.83797620380733e-12	<0.001	GO:0071560	cellular response to transforming growth factor beta stimulus
48	52	0.920394881150691	1.31260318198807e-08	<0.001	GO:0008076	voltage-gated potassium channel complex
101	110	0.91807939041412	2.31524182762427e-16	<0.001	GO:0032320	positive regulation of Ras GTPase activity
37	40	0.917522771390826	5.92547352879026e-07	0.002	GO:0007266	Rho protein signal transduction
122	133	0.917359163098173	2.08847643313845e-19	<0.001	GO:0005083	small GTPase regulator activity
26	28	0.912559578086843	2.77505839442995e-05	0.049	GO:0055038	recycling endosome membrane
47	51	0.911315199246667	2.15239302437554e-08	<0.001	GO:0045744	negative regulation of G-protein coupled receptor protein signaling pathway
46	50	0.902042991877385	3.52393967537085e-08	<0.001	GO:0014068	positive regulation of phosphatidylinositol 3-kinase signaling
46	50	0.902042991877385	3.52393967537085e-08	<0.001	GO:0043266	regulation of potassium ion transport
35	38	0.893656803546604	1.59756511644086e-06	0.002	GO:0001190	RNA polymerase II transcription factor binding transcription factor activity involved in positive regulation of transcription
35	38	0.893656803546604	1.59756511644086e-06	0.002	GO:0007215	glutamate receptor signaling pathway
45	49	0.892569887302098	5.76006363483979e-08	<0.001	GO:0043198	dendritic shaft
45	49	0.892569887302098	5.76006363483979e-08	<0.001	GO:1901800	positive regulation of proteasomal protein catabolic process
65	71	0.891648643209583	7.92552769272293e-11	<0.001	GO:0031398	positive regulation of protein ubiquitination
65	71	0.891648643209583	7.92552769272293e-11	<0.001	GO:0051899	membrane depolarization
213	234	0.889367955223169	1.13181337578317e-31	<0.001	GO:0032318	regulation of Ras GTPase activity
54	59	0.884047983116402	3.45597060770962e-09	<0.001	GO:0051146	striated muscle cell differentiation
34	37	0.881216022411551	2.61522401568596e-06	0.002	GO:0002053	positive regulation of mesenchymal cell proliferation
34	37	0.881216022411551	2.61522401568596e-06	0.002	GO:2000273	positive regulation of receptor activity
63	69	0.878117886915643	2.09388733393396e-10	<0.001	GO:0046683	response to organophosphorus
63	69	0.878117886915643	2.09388733393396e-10	<0.001	GO:0070304	positive regulation of stress-activated protein kinase signaling cascade
414	457	0.877009984889033	4.69934176324577e-59	<0.001	GO:0045202	synapse
139	153	0.873544126770347	6.4353349752772e-21	<0.001	GO:0043547	positive regulation of GTPase activity
62	68	0.871192591617237	3.39671562191246e-10	<0.001	GO:0032874	positive regulation of stress-activated MAPK cascade
81	89	0.870483444185033	7.83147852012899e-13	<0.001	GO:0035023	regulation of Rho protein signal transduction
33	36	0.868410213509823	4.2718805487857e-06	0.007	GO:0007159	leukocyte cell-cell adhesion
33	36	0.868410213509823	4.2718805487857e-06	0.007	GO:0045907	positive regulation of vasoconstriction
33	36	0.868410213509823	4.2718805487857e-06	0.007	GO:0048565	digestive tract development
42	46	0.862852789416182	2.48932353996841e-07	<0.001	GO:0046928	regulation of neurotransmitter secretion
32	35	0.855217248874155	6.96206422252462e-06	0.012	GO:0030551	cyclic nucleotide binding
32	35	0.855217248874155	6.96206422252462e-06	0.012	GO:0032922	circadian regulation of gene expression
32	35	0.855217248874155	6.96206422252462e-06	0.012	GO:0055007	cardiac muscle cell differentiation
32	35	0.855217248874155	6.96206422252462e-06	0.012	GO:1901019	regulation of calcium ion transmembrane transporter activity
41	45	0.852480416899888	4.03965595729846e-07	0.001	GO:0006513	protein monoubiquitination
