# species: Mus musculus
# support: EXP, IMP, ISS, ISM, TAS, IEA, IDA, IGI, ISO, IGC, NAS, IPI, IEP, ISA, RCA, IC
# associations retrieved on: 2015-08-25 09:30:50-04
# gofunc built on: 2014-08-29 20:00:45.229015-04
# gene associations file: ftp://ftp.geneontology.org/pub/go/gene-associations/gene_association.mgi.gz
#   revision: 06/05/2014 $
#   downloaded on: 2014-06-23 12:15:18-04
# GO DAG files from: http://archive.geneontology.org/latest-full/go_201404-termdb-tables.tar.gz
#   downloaded on: 2014-04-28 17:00:50-04
# translation required: yes
# translation info:
#   authority: ensembl
#     synergizer db built on: 2014-02-26 11:38:08.723614-05
#     synergizer db built from: Ensembl Genes 74 / Ensembl Metazoa Genes 21 / Ensembl Plants Genes 21
#   namespace: mgi_symbol
#   coverage: 100.0%
# size of "genespace": 22607
# number of attributes: 17970
# NOTE: the last record consists of all the entities in the
# "genespace" that are not associated with any attribute (for
# the requested support).
# Original number of entities in query: 968
# Number of entities in query: 968
# Total number of entities: 22720
# Original total number of entities: 22607
# Entities not in default gene space: 113
# Total number of attributes: 17970
# Translation required: yes
# Translation coverage: 0.999722
# Mode: unordered
# Number of simulations: 1000
# Adjusted P-value cutoff: 0.05
# Over/under: over
# Evidence codes: EXP, IMP, ISS, ISM, TAS, IEA, IDA, IGI, ISO, IGC, NAS, IPI, IEP, ISA, RCA, IC
OVERREPRESENTED ATTRIBUTES
N	X	LOD	P	P_adj	attrib ID	attrib name
447	7808	0.224678472490118	5.90511572088313e-15	<0.001	GO:0044763	single-organism cellular process
269	4325	0.225506950811095	8.4059954847146e-12	<0.001	GO:0031323	regulation of cellular metabolic process
216	3305	0.240056287952771	2.49530149862478e-11	<0.001	GO:0051171	regulation of nitrogen compound metabolic process
212	3254	0.237404808415493	5.45985480300318e-11	<0.001	GO:0019219	regulation of nucleobase-containing compound metabolic process
255	4165	0.213220342225022	1.97341673284341e-10	<0.001	GO:0080090	regulation of primary metabolic process
292	4976	0.197390182676812	5.60451238029122e-10	<0.001	GO:0019222	regulation of metabolic process
213	3382	0.219300166578848	1.01207725774527e-09	<0.001	GO:0048522	positive regulation of cellular process
172	2645	0.227387171169008	6.82567964999316e-09	<0.001	GO:2001141	regulation of RNA biosynthetic process
171	2627	0.227695207977698	7.10823031757578e-09	<0.001	GO:0006355	regulation of transcription, DNA-templated
229	3794	0.19949707708649	8.76377526102853e-09	<0.001	GO:0048518	positive regulation of biological process
183	2878	0.21791647148953	1.07989268849319e-08	<0.001	GO:2000112	regulation of cellular macromolecule biosynthetic process
360	6585	0.169571986949115	1.13104019157624e-08	<0.001	GO:0044237	cellular metabolic process
187	2965	0.214432229144008	1.32040104613384e-08	<0.001	GO:0010556	regulation of macromolecule biosynthetic process
274	4788	0.178759914555097	3.08797195204712e-08	<0.001	GO:0044260	cellular macromolecule metabolic process
232	3923	0.188801148738703	3.93062877104892e-08	<0.001	GO:0032502	developmental process
172	2716	0.213494316006362	4.45502240671207e-08	<0.001	GO:0051252	regulation of RNA metabolic process
191	3100	0.20281159107419	5.12870949499625e-08	<0.001	GO:0031326	regulation of cellular biosynthetic process
143	2159	0.23080673606619	5.48270245536475e-08	<0.001	GO:0044271	cellular nitrogen compound biosynthetic process
141	2122	0.232033979828947	5.69617375493166e-08	<0.001	GO:0019438	aromatic compound biosynthetic process
365	6791	0.159678584525509	6.19066332990686e-08	<0.001	GO:0044238	primary metabolic process
375	7029	0.157007591966175	8.25934094651598e-08	<0.001	GO:0071704	organic substance metabolic process
140	2116	0.229636426418546	8.27317160163541e-08	<0.001	GO:0018130	heterocycle biosynthetic process
192	3141	0.198779567709307	8.38335856226018e-08	<0.001	GO:0009889	regulation of biosynthetic process
128	1892	0.238523951710883	9.48882388653898e-08	<0.001	GO:0009966	regulation of signal transduction
145	2222	0.223584134959433	1.0812268204804e-07	<0.001	GO:1901362	organic cyclic compound biosynthetic process
220	3724	0.185817896693832	1.10667043846393e-07	<0.001	GO:0044767	single-organism developmental process
406	7746	0.151951700448186	1.26407542200633e-07	<0.001	GO:0008152	metabolic process
142	2170	0.224402997406531	1.27266227611952e-07	<0.001	GO:0023051	regulation of signaling
236	4063	0.179579595059758	1.30260255734712e-07	<0.001	GO:0060255	regulation of macromolecule metabolic process
142	2175	0.223223728638673	1.45882700846421e-07	<0.001	GO:0010646	regulation of cell communication
183	3007	0.194664499548146	2.49818830289881e-07	<0.001	GO:0044249	cellular biosynthetic process
187	3089	0.192622935434484	2.56901394562036e-07	<0.001	GO:1901576	organic substance biosynthetic process
102	1441	0.255930053529685	2.77558289740981e-07	<0.001	GO:0031324	negative regulation of cellular metabolic process
190	3161	0.189390903115791	3.2976474409924e-07	<0.001	GO:0009058	biosynthetic process
134	2054	0.221259094780181	3.6221055312161e-07	<0.001	GO:0034654	nucleobase-containing compound biosynthetic process
67	831	0.312941953684282	4.37783138048843e-07	<0.001	GO:0045892	negative regulation of transcription, DNA-templated
123	1859	0.226266698912091	5.67866943402733e-07	<0.001	GO:0032774	RNA biosynthetic process
198	3350	0.181857391443426	5.7477400644816e-07	<0.001	GO:0016043	cellular component organization
197	3331	0.18200758449532	5.93040926310421e-07	<0.001	GO:0010468	regulation of gene expression
122	1844	0.226041685934599	6.37169088897958e-07	<0.001	GO:0006351	transcription, DNA-templated
207	3552	0.17588196830934	8.12413247199018e-07	<0.001	GO:0046483	heterocycle metabolic process
200	3411	0.177907444251474	8.69232420281008e-07	<0.001	GO:0071840	cellular component organization or biogenesis
201	3436	0.17683761549331	9.51193446804905e-07	<0.001	GO:0048519	negative regulation of biological process
67	850	0.301887116172024	9.75750876140646e-07	<0.001	GO:1902679	negative regulation of RNA biosynthetic process
212	3667	0.172430860552358	1.0212368208806e-06	0.001	GO:0034641	cellular nitrogen compound metabolic process
208	3586	0.173498447718289	1.06071420140085e-06	0.001	GO:0006725	cellular aromatic compound metabolic process
200	3422	0.176164716941219	1.08774226894618e-06	0.001	GO:0006139	nucleobase-containing compound metabolic process
72	942	0.287801427297338	1.18993787789339e-06	0.001	GO:2000113	negative regulation of cellular macromolecule biosynthetic process
135	2125	0.207913392066549	1.39167557069778e-06	0.001	GO:0009893	positive regulation of metabolic process
74	986	0.279251188952132	1.65500347352779e-06	0.001	GO:0051172	negative regulation of nitrogen compound metabolic process
183	3094	0.179488559434646	1.66821561748835e-06	0.001	GO:0048523	negative regulation of cellular process
80	1094	0.26766373785517	1.70136843250568e-06	0.001	GO:1902531	regulation of intracellular signal transduction
293	5420	0.14885179845209	1.82796743471922e-06	0.001	GO:0043170	macromolecule metabolic process
133	2097	0.206695653559953	1.84026525758886e-06	0.001	GO:0051239	regulation of multicellular organismal process
215	3771	0.165329066596085	2.27233119257702e-06	0.001	GO:1901360	organic cyclic compound metabolic process
116	1776	0.218426634763007	2.31385862743301e-06	0.001	GO:0050793	regulation of developmental process
67	877	0.286613546702507	2.86345854366799e-06	0.004	GO:0051253	negative regulation of RNA metabolic process
22	168	0.54480869708131	2.88509462231913e-06	0.004	GO:0042110	T cell activation
72	966	0.27549044150776	2.93363388712753e-06	0.004	GO:0045934	negative regulation of nucleobase-containing compound metabolic process
126	1982	0.206602348646473	3.1804935838867e-06	0.004	GO:0031325	positive regulation of cellular metabolic process
100	1483	0.231397444216464	3.21133889462874e-06	0.004	GO:0010605	negative regulation of macromolecule metabolic process
28	251	0.465242476562064	3.50151146373789e-06	0.005	GO:0003002	regionalization
73	991	0.269925670691768	3.79709274880978e-06	0.005	GO:0010558	negative regulation of macromolecule biosynthetic process
