# species: Mus musculus
# support: EXP, IMP, ISS, ISM, TAS, IEA, IDA, IGI, ISO, IGC, NAS, IPI, IEP, ISA, RCA, IC
# associations retrieved on: 2015-08-25 09:10:21-04
# gofunc built on: 2014-08-29 20:00:45.229015-04
# gene associations file: ftp://ftp.geneontology.org/pub/go/gene-associations/gene_association.mgi.gz
#   revision: 06/05/2014 $
#   downloaded on: 2014-06-23 12:15:18-04
# GO DAG files from: http://archive.geneontology.org/latest-full/go_201404-termdb-tables.tar.gz
#   downloaded on: 2014-04-28 17:00:50-04
# translation required: yes
# translation info:
#   authority: ensembl
#     synergizer db built on: 2014-02-26 11:38:08.723614-05
#     synergizer db built from: Ensembl Genes 74 / Ensembl Metazoa Genes 21 / Ensembl Plants Genes 21
#   namespace: mgi_symbol
#   coverage: 100.0%
# size of "genespace": 22607
# number of attributes: 17970
# NOTE: the last record consists of all the entities in the
# "genespace" that are not associated with any attribute (for
# the requested support).
# Original number of entities in query: 1405
# Number of entities in query: 1405
# Total number of entities: 22781
# Original total number of entities: 22607
# Entities not in default gene space: 174
# Total number of attributes: 17970
# Translation required: yes
# Translation coverage: 0.999722
# Mode: unordered
# Number of simulations: 1000
# Adjusted P-value cutoff: 0.05
# Over/under: over
# Evidence codes: EXP, IMP, ISS, ISM, TAS, IEA, IDA, IGI, ISO, IGC, NAS, IPI, IEP, ISA, RCA, IC
OVERREPRESENTED ATTRIBUTES
N	X	LOD	P	P_adj	attrib ID	attrib name
781	10364	0.187515103838309	3.18585421993271e-15	<0.001	GO:0043226	organelle
859	11641	0.189016713226209	3.66319644495839e-15	<0.001	GO:0044424	intracellular part
562	6967	0.192749718975082	6.41655550294131e-15	<0.001	GO:0005515	protein binding
728	9707	0.171602218735863	4.88064518764042e-13	<0.001	GO:0043229	intracellular organelle
726	9682	0.171046906491506	5.80101970650371e-13	<0.001	GO:0043227	membrane-bounded organelle
837	11579	0.163866059917663	6.73344130346237e-12	<0.001	GO:0005488	binding
661	8836	0.156774103609302	4.91333208868574e-11	<0.001	GO:0043231	intracellular membrane-bounded organelle
447	5568	0.170804077808211	6.31885736398558e-11	<0.001	GO:0005737	cytoplasm
594	7808	0.157797019914991	7.57855869630858e-11	<0.001	GO:0044763	single-organism cellular process
462	5814	0.166597644057223	1.14182970985492e-10	<0.001	GO:0044444	cytoplasmic part
400	4976	0.16500918575394	1.0089239694248e-09	<0.001	GO:0019222	regulation of metabolic process
355	4325	0.171309802398534	1.26535495267322e-09	<0.001	GO:0031323	regulation of cellular metabolic process
343	4165	0.171638772675997	1.8793667524967e-09	<0.001	GO:0080090	regulation of primary metabolic process
314	3794	0.170723376400647	7.19979264370324e-09	<0.001	GO:0048518	positive regulation of biological process
179	1915	0.218874652412178	8.12765068809314e-09	<0.001	GO:0065009	regulation of molecular function
198	2175	0.207547416135102	9.43656847966341e-09	<0.001	GO:0010646	regulation of cell communication
108	1012	0.277084680253818	1.50291215479042e-08	<0.001	GO:0005794	Golgi apparatus
283	3382	0.172991865442397	1.81833619372357e-08	<0.001	GO:0048522	positive regulation of cellular process
196	2170	0.203157236049228	2.07539262306218e-08	<0.001	GO:0023051	regulation of signaling
